program,value,vote,year,text
1007010 Mining Policy Development and Coordination,278804260,1192  State Department for Mining,2020,1192  State Department for Mining 1007010 Mining Policy Development and Coordination
1007000 General Administration Planning and Support Services,278804260,1192  State Department for Mining,2020,1192  State Department for Mining 1007000 General Administration Planning and Support Services
1009010 Mineral Resources Development,322424916,1192  State Department for Mining,2020,1192  State Department for Mining 1009010 Mineral Resources Development
1009020 Geological survey and mineral exploration,173071404,1192  State Department for Mining,2020,1192  State Department for Mining 1009020 Geological survey and mineral exploration
1009000 Mineral Resources Management,495496320,1192  State Department for Mining,2020,1192  State Department for Mining 1009000 Mineral Resources Management
1021010 Geological Survey,154839230,1192  State Department for Mining,2020,1192  State Department for Mining 1021010 Geological Survey
1021020 Geoinformation Management,2e+07,1192  State Department for Mining,2020,1192  State Department for Mining 1021020 Geoinformation Management
1021000 Geological Survey and Geoinformation Management,174839230,1192  State Department for Mining,2020,1192  State Department for Mining 1021000 Geological Survey and Geoinformation Management
0215010 Oil and gas exploration,3869841991,1193 State Department for Petroleum,2020,1193 State Department for Petroleum 0215010 Oil and gas exploration
0215020 Distribution of petroleum and gas,3.7e+08,1193 State Department for Petroleum,2020,1193 State Department for Petroleum 0215020 Distribution of petroleum and gas
0215030 General Administration and Support Services,147668787,1193 State Department for Petroleum,2020,1193 State Department for Petroleum 0215030 General Administration and Support Services
0215000 Exploration and Distribution of Oil and Gas,4387510778,1193 State Department for Petroleum,2020,1193 State Department for Petroleum 0215000 Exploration and Distribution of Oil and Gas
0306010 Tourism Promotion and Marketing,1050277096,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306010 Tourism Promotion and Marketing
0306020 Niche tourism product development and diversification,2934852502,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306020 Niche tourism product development and diversification
0306030 Tourism Infrastructure Development,3.901e+09,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306030 Tourism Infrastructure Development
0306040 Tourism Training& Capacity Building,556270000,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306040 Tourism Training& Capacity Building
0306050 General Administration Planning and Support Services,528832381,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306050 General Administration Planning and Support Services
0306000 Tourism Development and Promotion,8971231979,1202  State Department for Tourism ,2020,1202  State Department for Tourism  0306000 Tourism Development and Promotion
"1019010 Wildlife Security, Conservation and Management",8585047020,1203 State Department for Wildlife ,2020,"1203 State Department for Wildlife  1019010 Wildlife Security, Conservation and Management"
1019030 Administrative Services,216840490,1203 State Department for Wildlife ,2020,1203 State Department for Wildlife  1019030 Administrative Services
1019000 Wildlife Conservation and Management,8801887510,1203 State Department for Wildlife ,2020,1203 State Department for Wildlife  1019000 Wildlife Conservation and Management
0911010 Affirmative Action,2.13e+09,1212 State Department for Gender ,2020,1212 State Department for Gender  0911010 Affirmative Action
0911000 Community Development,2.13e+09,1212 State Department for Gender ,2020,1212 State Department for Gender  0911000 Community Development
0912010 Gender Mainstreaming,247751467,1212 State Department for Gender ,2020,1212 State Department for Gender  0912010 Gender Mainstreaming
0912030 Gender and Socio-Economic Empowerment,687020000,1212 State Department for Gender ,2020,1212 State Department for Gender  0912030 Gender and Socio-Economic Empowerment
0912000 Gender Empowerment,934771467,1212 State Department for Gender ,2020,1212 State Department for Gender  0912000 Gender Empowerment
0913010 General Administration and Planning Services,202265121,1212 State Department for Gender ,2020,1212 State Department for Gender  0913010 General Administration and Planning Services
0913020 Gender County and Sub County Activities,84949890,1212 State Department for Gender ,2020,1212 State Department for Gender  0913020 Gender County and Sub County Activities
"0913000 General Administration, Planning and Support Services",287215011,1212 State Department for Gender ,2020,"1212 State Department for Gender  0913000 General Administration, Planning and Support Services"
4100000 Financial Assets,1e+08,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 4100000 Financial Assets
4100000 Financial Assets,1e+08,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 4100000 Financial Assets
4100000 Financial Assets,1e+08,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 4100000 Financial Assets
0710010 Human Resource Management,4176859207,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710010 Human Resource Management
0710020 Human Resource Development,2339880382,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710020 Human Resource Development
0710030 Management Consultancy Services,80698785,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710030 Management Consultancy Services
0710040 Huduma Kenya Service Delivery,1145704136,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710040 Huduma Kenya Service Delivery
0710050 Performance Management,56396319,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710050 Performance Management
0710060 Public Service Reforms,77563037,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710060 Public Service Reforms
0710000 Public Service Transformation,7877101866,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0710000 Public Service Transformation
0709010 Human Resources and Support Services,379699083,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0709010 Human Resources and Support Services
0709020 Financial Management Services,26451283,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0709020 Financial Management Services
0709030 Information Communications Services,1232111,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0709030 Information Communications Services
0709000 General Administration Planning and Support Services,407382477,1213 State Department for&#10;Public Service,2020,1213 State Department for&#10;Public Service 0709000 General Administration Planning and Support Services
0711010 National Youth Service,10185026300,1214 State Department for&#10;Youth,2020,1214 State Department for&#10;Youth 0711010 National Youth Service
0711030 Youth Development Services,3014735534,1214 State Department for&#10;Youth,2020,1214 State Department for&#10;Youth 0711030 Youth Development Services
0711040 Youth Employment Scheme,359490000,1214 State Department for&#10;Youth,2020,1214 State Department for&#10;Youth 0711040 Youth Employment Scheme
0711050 Youth Coordination and Representation,9.8e+07,1214 State Department for&#10;Youth,2020,1214 State Department for&#10;Youth 0711050 Youth Coordination and Representation
"0711070 General Administration, Planning and Support Services",189626335,1214 State Department for&#10;Youth,2020,"1214 State Department for&#10;Youth 0711070 General Administration, Planning and Support Services"
0711000 Youth Empowerment,13846878169,1214 State Department for&#10;Youth,2020,1214 State Department for&#10;Youth 0711000 Youth Empowerment
0305010 East African Customs Union,15525078,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305010 East African Customs Union
0305020 East African Common Market,433328421,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305020 East African Common Market
0305030 EAC Monetary Union,17510706,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305030 EAC Monetary Union
0305040 Kenya-South Sudan Advisory Services,123992877,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305040 Kenya-South Sudan Advisory Services
0305070 Business Transformation,17658437,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305070 Business Transformation
0305000 East African Affairs and Regional Integration,608015519,1221 State Department for East African Community,2020,1221 State Department for East African Community 0305000 East African Affairs and Regional Integration
1013010 Integrated basin based Development,3342193797,1222 State Department for&#10;Regional and Northern Corridor Development,2020,1222 State Department for&#10;Regional and Northern Corridor Development 1013010 Integrated basin based Development
1013030 Management of Northern Corridor Integration,47480139,1222 State Department for&#10;Regional and Northern Corridor Development,2020,1222 State Department for&#10;Regional and Northern Corridor Development 1013030 Management of Northern Corridor Integration
"1013040 General Administration, Planning and Support Services",47520100,1222 State Department for&#10;Regional and Northern Corridor Development,2020,"1222 State Department for&#10;Regional and Northern Corridor Development 1013040 General Administration, Planning and Support Services"
1013000 Integrated Regional Development,3437194036,1222 State Department for&#10;Regional and Northern Corridor Development,2020,1222 State Department for&#10;Regional and Northern Corridor Development 1013000 Integrated Regional Development
0606010 Civil litigation and Promotion of legal ethical standards,859399832,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0606010 Civil litigation and Promotion of legal ethical standards
"0606020 Legislations, Treaties and Advisory Services",402449285,1252 State Law Office and&#10;Department of Justice,2020,"1252 State Law Office and&#10;Department of Justice 0606020 Legislations, Treaties and Advisory Services"
0606030 Public Trusts and Estates management,262592008,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0606030 Public Trusts and Estates management
0606040 Registration Services,483269701,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0606040 Registration Services
0606050 Copyrights Protection,,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0606050 Copyrights Protection
0606000 Legal Services,2007710826,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0606000 Legal Services
0607010 Governance Reforms,353861236,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0607010 Governance Reforms
0607020 Constitutional and Legal Reforms,616180264,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0607020 Constitutional and Legal Reforms
0607030 Legal Education Training and Policy,944019711,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0607030 Legal Education Training and Policy
"0607000 Governance, Legal Training and Constitutional Affairs",1914061211,1252 State Law Office and&#10;Department of Justice,2020,"1252 State Law Office and&#10;Department of Justice 0607000 Governance, Legal Training and Constitutional Affairs"
0609010 Transformation of Public legal services,101602166,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0609010 Transformation of Public legal services
0609020 Administrative services,638532644,1252 State Law Office and&#10;Department of Justice,2020,1252 State Law Office and&#10;Department of Justice 0609020 Administrative services
"0609000 General Administration, Planning and Support Services",740134810,1252 State Law Office and&#10;Department of Justice,2020,"1252 State Law Office and&#10;Department of Justice 0609000 General Administration, Planning and Support Services"
0611010 Ethics and Anti-Corruption,3.113e+09,1271 Ethics and Anti- Corruption Commission,2020,1271 Ethics and Anti- Corruption Commission 0611010 Ethics and Anti-Corruption
0611000 Ethics and Anti-Corruption,3.113e+09,1271 Ethics and Anti- Corruption Commission,2020,1271 Ethics and Anti- Corruption Commission 0611000 Ethics and Anti-Corruption
0804010 Security Intelligence,3.9051e+10,1281 National Intelligence Service,2020,1281 National Intelligence Service 0804010 Security Intelligence
0804000 National Security Intelligence,3.9051e+10,1281 National Intelligence Service,2020,1281 National Intelligence Service 0804000 National Security Intelligence
0612010 Prosecution of criminal offences,2437227522,1291 Office of the Director of Public Prosecutions,2020,1291 Office of the Director of Public Prosecutions 0612010 Prosecution of criminal offences
0612050 General Administration Planning and Support Services,648775800,1291 Office of the Director of Public Prosecutions,2020,1291 Office of the Director of Public Prosecutions 0612050 General Administration Planning and Support Services
0612000 Public Prosecution Services,3086003322,1291 Office of the Director of Public Prosecutions,2020,1291 Office of the Director of Public Prosecutions 0612000 Public Prosecution Services
4100000 Financial Assets,8e+07,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
4100000 Financial Assets,8e+07,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
4100000 Financial Assets,8e+07,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 4100000 Financial Assets
0614010 Registration and regulation of political parties,335561991,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 0614010 Registration and regulation of political parties
0614020 Funding of political parties,795240000,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 0614020 Funding of political parties
0614030 Political parties liaison committee,14990000,1311 Office of the Registrar of Political Parties,2020,1311 Office of the Registrar of Political Parties 0614030 Political parties liaison committee
"0614000 Registration, Regulation and Funding of Political Parties",1145791991,1311 Office of the Registrar of Political Parties,2020,"1311 Office of the Registrar of Political Parties 0614000 Registration, Regulation and Funding of Political Parties"
4100000 Financial Assets,14500000,1321 Witness Protection&#10;Agency,2020,1321 Witness Protection&#10;Agency 4100000 Financial Assets
4100000 Financial Assets,14500000,1321 Witness Protection&#10;Agency,2020,1321 Witness Protection&#10;Agency 4100000 Financial Assets
4100000 Financial Assets,14500000,1321 Witness Protection&#10;Agency,2020,1321 Witness Protection&#10;Agency 4100000 Financial Assets
0615010 Witness Protection,472787500,1321 Witness Protection&#10;Agency,2020,1321 Witness Protection&#10;Agency 0615010 Witness Protection
0615000 Witness Protection,472787500,1321 Witness Protection&#10;Agency,2020,1321 Witness Protection&#10;Agency 0615000 Witness Protection
4100000 Financial Assets,9e+06,2011 Kenya National&#10;Commission on Human Rights,2020,2011 Kenya National&#10;Commission on Human Rights 4100000 Financial Assets
4100000 Financial Assets,9e+06,2011 Kenya National&#10;Commission on Human Rights,2020,2011 Kenya National&#10;Commission on Human Rights 4100000 Financial Assets
4100000 Financial Assets,9e+06,2011 Kenya National&#10;Commission on Human Rights,2020,2011 Kenya National&#10;Commission on Human Rights 4100000 Financial Assets
"0616010 Complaints, Investigations and redress",400704556,2011 Kenya National&#10;Commission on Human Rights,2020,"2011 Kenya National&#10;Commission on Human Rights 0616010 Complaints, Investigations and redress"
0616000 Protection and Promotion of Human Rights,400704556,2011 Kenya National&#10;Commission on Human Rights,2020,2011 Kenya National&#10;Commission on Human Rights 0616000 Protection and Promotion of Human Rights
"0119010 General Administration, Planning and Support Services",1159050765,2021 National Land Commission,2020,"2021 National Land Commission 0119010 General Administration, Planning and Support Services"
0119020 Land Administration and Management,47724780,2021 National Land Commission,2020,2021 National Land Commission 0119020 Land Administration and Management
0119030 Public Land Information Management,4918230,2021 National Land Commission,2020,2021 National Land Commission 0119030 Public Land Information Management
0119040 Land Disputes and Conflict Resolution,21632040,2021 National Land Commission,2020,2021 National Land Commission 0119040 Land Disputes and Conflict Resolution
0116000 Land Administration and Management,1233325815,2021 National Land Commission,2020,2021 National Land Commission 0116000 Land Administration and Management
4100000 Financial Assets,15019221,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
4100000 Financial Assets,15019221,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
4100000 Financial Assets,15019221,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 4100000 Financial Assets
0617010 General Administration Planning and Support Services,3409593868,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0617010 General Administration Planning and Support Services
0617020 Voter Registration and Electoral Operations,70839673,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0617020 Voter Registration and Electoral Operations
0617030 Voter Education and Partnerships,58344464,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0617030 Voter Education and Partnerships
0617040 Electoral Information and Communication Technology,374562185,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0617040 Electoral Information and Communication Technology
0617000 Management of Electoral Processes,3913340190,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0617000 Management of Electoral Processes
0618010 Delimitation of Electoral Boundaries,259544652,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0618010 Delimitation of Electoral Boundaries
0618000 Delimitation of Electoral Boundaries,259544652,2031 Independent Electoral and Boundaries Commission,2020,2031 Independent Electoral and Boundaries Commission 0618000 Delimitation of Electoral Boundaries
4100000 Financial Assets,11572594,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 4100000 Financial Assets
4100000 Financial Assets,11572594,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 4100000 Financial Assets
4100000 Financial Assets,11572594,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 4100000 Financial Assets
0737010 General Administration and Support Services,357912084,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 0737010 General Administration and Support Services
0737020 Equitable Sharing of Revenues,5260000,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 0737020 Equitable Sharing of Revenues
0737030 Public Financial Management,5382100,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 0737030 Public Financial Management
0737040 Transitional Equalization,3421446,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 0737040 Transitional Equalization
0737000 Inter-Governmental Transfers and Financial Matters,371975630,2061 The Commission on Revenue Allocation,2020,2061 The Commission on Revenue Allocation 0737000 Inter-Governmental Transfers and Financial Matters
4100000 Financial Assets,26143820,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 4100000 Financial Assets
4100000 Financial Assets,26143820,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 4100000 Financial Assets
4100000 Financial Assets,26143820,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 4100000 Financial Assets
0725010 Administration,710052933,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0725010 Administration
0725020 Board Management Service,43401724,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0725020 Board Management Service
"0725000 General Administration, Planning and Support Services",753454657,2071 Public Service&#10;Commission,2020,"2071 Public Service&#10;Commission 0725000 General Administration, Planning and Support Services"
0726010 Establishment and Management and Consultancy Service,53720054,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0726010 Establishment and Management and Consultancy Service
0726020 Human Resource Management,101277754,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0726020 Human Resource Management
0726030 Human Resource Development,1063265995,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0726030 Human Resource Development
0726000 Human Resource management and Development,1218263803,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0726000 Human Resource management and Development
0727010 Compliance and quality assurance,76581756,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0727010 Compliance and quality assurance
"0727020 Ethics, Governance and National values",37421000,2071 Public Service&#10;Commission,2020,"2071 Public Service&#10;Commission 0727020 Ethics, Governance and National values"
0727000 Governance and National Values,114002756,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0727000 Governance and National Values
0744010 Performance and Productivity Management,39318784,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0744010 Performance and Productivity Management
0744000 Performance and Productivity Management,39318784,2071 Public Service&#10;Commission,2020,2071 Public Service&#10;Commission 0744000 Performance and Productivity Management
4100000 Financial Assets,5.5e+07,2081 Salaries and&#10;Remuneration Commission,2020,2081 Salaries and&#10;Remuneration Commission 4100000 Financial Assets
4100000 Financial Assets,5.5e+07,2081 Salaries and&#10;Remuneration Commission,2020,2081 Salaries and&#10;Remuneration Commission 4100000 Financial Assets
4100000 Financial Assets,5.5e+07,2081 Salaries and&#10;Remuneration Commission,2020,2081 Salaries and&#10;Remuneration Commission 4100000 Financial Assets
0728010 Remuneration and Benefits management,459730000,2081 Salaries and&#10;Remuneration Commission,2020,2081 Salaries and&#10;Remuneration Commission 0728010 Remuneration and Benefits management
0728000 Salaries and Remuneration Management,459730000,2081 Salaries and&#10;Remuneration Commission,2020,2081 Salaries and&#10;Remuneration Commission 0728000 Salaries and Remuneration Management
4100000 Financial Assets,5e+06,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 4100000 Financial Assets
4100000 Financial Assets,5e+06,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 4100000 Financial Assets
4100000 Financial Assets,5e+06,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 4100000 Financial Assets
0509010 Teacher Management- Primary,165543176334,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0509010 Teacher Management- Primary
0509020 Teacher management - Secondary,87540779964,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0509020 Teacher management - Secondary
0509030 Teacher management - Tertiary,3689425620,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0509030 Teacher management - Tertiary
0509000 Teacher Resource Management,256773381918,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0509000 Teacher Resource Management
0510010 Quality assurance and standards,2375049,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0510010 Quality assurance and standards
0510020 Teacher professional development,1744664,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0510020 Teacher professional development
0510030 Teacher capacity development,1001050164,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0510030 Teacher capacity development
0510000 Governance and Standards,1005169877,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0510000 Governance and Standards
"0511010 Policy, Planning and Support Service",6613210381,2091 Teachers Service&#10;Commission,2020,"2091 Teachers Service&#10;Commission 0511010 Policy, Planning and Support Service"
0511020 Field Services,198235431,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0511020 Field Services
0511030 Automation of TSC Operations,302586530,2091 Teachers Service&#10;Commission,2020,2091 Teachers Service&#10;Commission 0511030 Automation of TSC Operations
"0511000 General Administration, Planning and Support Services",7114032342,2091 Teachers Service&#10;Commission,2020,"2091 Teachers Service&#10;Commission 0511000 General Administration, Planning and Support Services"
0620010 Human Resource Management,407094000,2101 National Police&#10;Service Commission,2020,2101 National Police&#10;Service Commission 0620010 Human Resource Management
0620030 Administration and Standards Setting,147113020,2101 National Police&#10;Service Commission,2020,2101 National Police&#10;Service Commission 0620030 Administration and Standards Setting
0620040 Counselling Management Services,52120690,2101 National Police&#10;Service Commission,2020,2101 National Police&#10;Service Commission 0620040 Counselling Management Services
0620000 National Police Service Human Resource Management,606327710,2101 National Police&#10;Service Commission,2020,2101 National Police&#10;Service Commission 0620000 National Police Service Human Resource Management
4100000 Financial Assets,4e+07,2111 Auditor General,2020,2111 Auditor General 4100000 Financial Assets
4100000 Financial Assets,4e+07,2111 Auditor General,2020,2111 Auditor General 4100000 Financial Assets
4100000 Financial Assets,4e+07,2111 Auditor General,2020,2111 Auditor General 4100000 Financial Assets
0729010 CDF Audits,44541560,2111 Auditor General,2020,2111 Auditor General 0729010 CDF Audits
0729020 County Governments Audit,693046900,2111 Auditor General,2020,2111 Auditor General 0729020 County Governments Audit
0729030 Specialized Audits,341653520,2111 Auditor General,2020,2111 Auditor General 0729030 Specialized Audits
0729040 National Government Audit,4145393400,2111 Auditor General,2020,2111 Auditor General 0729040 National Government Audit
0729000 Audit Services,5224635380,2111 Auditor General,2020,2111 Auditor General 0729000 Audit Services
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 4100000 Financial Assets
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 4100000 Financial Assets
4100000 Financial Assets,172106300,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 4100000 Financial Assets
0730010 Authorization of withdrawal from public Funds,164552927,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 0730010 Authorization of withdrawal from public Funds
0730020 Budget implementation and Monitoring,42770880,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 0730020 Budget implementation and Monitoring
0730030 General Administration Planning and Support Services,396228727,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 0730030 General Administration Planning and Support Services
0730040 Research & Development,19429672,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 0730040 Research & Development
0730000 Control and Management of Public finances,622982206,2121 Office of the Controller of Budget,2020,2121 Office of the Controller of Budget 0730000 Control and Management of Public finances
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 4100000 Financial Assets
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 4100000 Financial Assets
4100000 Financial Assets,1e+08,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 4100000 Financial Assets
0731020 General Administration and Support Services,330149467,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 0731020 General Administration and Support Services
0731030 Administrative Justice Services,137783657,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 0731030 Administrative Justice Services
0731040 Access to Information Services,26747602,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 0731040 Access to Information Services
0731000 Promotion of Administrative Justice,494680726,2131 The Commission on Administrative Justice,2020,2131 The Commission on Administrative Justice 0731000 Promotion of Administrative Justice
4100000 Financial Assets,3.2e+07,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 4100000 Financial Assets
4100000 Financial Assets,3.2e+07,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 4100000 Financial Assets
4100000 Financial Assets,3.2e+07,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 4100000 Financial Assets
0621010 Legal Compliance and Redress,19337934,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 0621010 Legal Compliance and Redress
0621020 Mainstreaming and Coordination,18165033,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 0621020 Mainstreaming and Coordination
"0621030 Public Education, Advocacy, And Research",21599011,2141 National Gender and Equality Commission,2020,"2141 National Gender and Equality Commission 0621030 Public Education, Advocacy, And Research"
0621040 General Administration Planning and Support Services,370554974,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 0621040 General Administration Planning and Support Services
0621000 Promotion of Gender Equality and Freedom from Discrimination,429656952,2141 National Gender and Equality Commission,2020,2141 National Gender and Equality Commission 0621000 Promotion of Gender Equality and Freedom from Discrimination
0622010 Policing Oversight Services,752628000,2151 Independent Policing Oversight Authority,2020,2151 Independent Policing Oversight Authority 0622010 Policing Oversight Services
0622000 Policing Oversight Services,752628000,2151 Independent Policing Oversight Authority,2020,2151 Independent Policing Oversight Authority 0622000 Policing Oversight Services
0702010 Management of Cabinet Affairs,3149708074,1011 The Presidency,2019,1011 The Presidency 0702010 Management of Cabinet Affairs
0702020 Advisory Services on Economic and Social Affairs,24281900,1011 The Presidency,2019,1011 The Presidency 0702020 Advisory Services on Economic and Social Affairs
0702030 Resource Surveys and Remote Sensing,2.35e+08,1011 The Presidency,2019,1011 The Presidency 0702030 Resource Surveys and Remote Sensing
0702000 Cabinet Affairs,3408989974,1011 The Presidency,2019,1011 The Presidency 0702000 Cabinet Affairs
0703010 State Corporations Advisory Services,,1011 The Presidency,2019,1011 The Presidency 0703010 State Corporations Advisory Services
0703020 Kenya-South Sudan Advisory Services,130374879,1011 The Presidency,2019,1011 The Presidency 0703020 Kenya-South Sudan Advisory Services
0703030 Power of Mercy Advisory Services,65625121,1011 The Presidency,2019,1011 The Presidency 0703030 Power of Mercy Advisory Services
0703060 Counter-Terrorism Advisory Services,664980996,1011 The Presidency,2019,1011 The Presidency 0703060 Counter-Terrorism Advisory Services
0703000 Government Advisory Services,860980996,1011 The Presidency,2019,1011 The Presidency 0703000 Government Advisory Services
0704010 Coordination of State House Functions,3915251242,1011 The Presidency,2019,1011 The Presidency 0704010 Coordination of State House Functions
0704020 Administration of Statutory benefits for the retired Presidents,243627950,1011 The Presidency,2019,1011 The Presidency 0704020 Administration of Statutory benefits for the retired Presidents
"0704030 Strategic Policy, Public Sector Performance Monitoring & SC Inspectorate",631411808,1011 The Presidency,2019,"1011 The Presidency 0704030 Strategic Policy, Public Sector Performance Monitoring & SC Inspectorate"
0704000 State House Affairs,4790291000,1011 The Presidency,2019,1011 The Presidency 0704000 State House Affairs
0734010 General Administration and Support Services,707001013,1011 The Presidency,2019,1011 The Presidency 0734010 General Administration and Support Services
0734020 Coordination and Supervision,1452998987,1011 The Presidency,2019,1011 The Presidency 0734020 Coordination and Supervision
